Project Description,Location,Contractor,Cost,Completion Date,,Description,Start_Date,Contractor,Contract_Cost,Location,Region,Category,FY
"Construction of Flood Control System at Barangay Sulivan, Baliuag, Bulacan (Sta. 03+560 to Sta. 03+820)",BULACAN,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC. (FORMERLY TRIPLE 8 CONST. & SUPPLY)","77,198,358.83",12/05/2023,REPORT,"Construction of Flood Control System at Barangay Sulivan, Baliuag, Bulacan (Sta. 03+560 to Sta. 03+820)",03/14/2023,"CONTRACTOR:
TRIPLE 8 CONSTRUCTION & SUPPLY, INC. (FORMERLY TRIPLE 8 CONST. & SUPPLY)","CONTRACT COST: 77,198,358.83","BULACAN (14.980967 , 120.881703)",Region III,Construction of Flood Mitigation Structure,FY 2023
"Construction of Flood Control Structure at Barangay Piel, Baliuag, Bulacan (K003+690 to K003+990)",BULACAN,ST. MATTHEW GEN. CONTRACTOR & DEVELOPMENT CORP.,"72,374,362.28",12/05/2023,REPORT,"Construction of Flood Control Structure at Barangay Piel, Baliuag, Bulacan (K003+690 to K003+990)",03/28/2023,"CONTRACTOR:
ST. MATTHEW GEN. CONTRACTOR & DEVELOPMENT CORP.","CONTRACT COST: 72,374,362.28","BULACAN (14.984714 , 120.880856)",Region III,Construction of Flood Mitigation Structure,FY 2023
"Construction of Flood Control Structure at Barangay Tangos, Baliuag, Bulacan (K003+961 to K004+261)",BULACAN,GREAT PACIFIC BUILDERS AND GEN. CONTRACTOR INC.,"72,374,627.31",12/05/2023,REPORT,"Construction of Flood Control Structure at Barangay Tangos, Baliuag, Bulacan (K003+961 to K004+261)",03/28/2023,"CONTRACTOR:
GREAT PACIFIC BUILDERS AND GEN. CONTRACTOR INC.","CONTRACT COST: 72,374,627.31","BULACAN (14.978803 , 120.889023)",Region III,Construction of Flood Mitigation Structure,FY 2023
"Construction of Flood Control Structure at Barangay Tangos, Baliuag, Bulacan (K003+200 to K003+500)",BULACAN,YPR GEN. CONTRACTOR AND CONSTRUCTION SUPPLY INC.,"72,374,674.87",12/05/2023,REPORT,"Construction of Flood Control Structure at Barangay Tangos, Baliuag, Bulacan (K003+200 to K003+500)",03/28/2023,"CONTRACTOR:
YPR GEN. CONTRACTOR AND CONSTRUCTION SUPPLY INC.","CONTRACT COST: 72,374,674.87","BULACAN (14.916222 , 120.889542)",Region III,Construction of Flood Mitigation Structure,FY 2023
"Construction of Riverwall at Barangay Sulivan, Sta. 02+310 to Sta. 02+710, Baliuag, Bulacan",BULACAN,"L.R. TIQUI BUILDERS, INC.","96,498,859.48",12/05/2023,REPORT,"Construction of Riverwall at Barangay Sulivan, Sta. 02+310 to Sta. 02+710, Baliuag, Bulacan",02/13/2023,"CONTRACTOR:
L.R. TIQUI BUILDERS, INC.","CONTRACT COST: 96,498,859.48","BULACAN (14.979458 , 120.888664)",Region III,Construction of Flood Mitigation Structure,FY 2023
"Improvement of River along Balagtas River, Pandi Section, Pandi, Bulacan",BULACAN,PERRC INC. (FORMERLY: P.E.R.R.C. CONSTRUCTION & DEVELOPMENT CORPORATION),"142,350,971.22",12/05/2023,REPORT,"Improvement of River along Balagtas River, Pandi Section, Pandi, Bulacan",11/29/2021,"CONTRACTOR:
PERRC INC. (FORMERLY: P.E.R.R.C. CONSTRUCTION & DEVELOPMENT CORPORATION)","CONTRACT COST: 142,350,971.22","BULACAN (14.840426 , 120.922828)",Region III,Construction of Flood Mitigation Structure,FY 2021
"Rehabilitation of Currimao Seawall, Currimao, Ilocos Norte",ILOCOS NORTE,MEGAPOLITAN BUILDERS AND CONSTRUCTION SUPPLY,"48,020,000.00",12/05/2023,REPORT,"Rehabilitation of Currimao Seawall, Currimao, Ilocos Norte",02/10/2023,"CONTRACTOR:
MEGAPOLITAN BUILDERS AND CONSTRUCTION SUPPLY","CONTRACT COST: 48,020,000.00","ILOCOS NORTE (17.993810 , 120.499510)",Region I,Rehabilitation / Major Repair of Flood Control Structure,FY 2023
"Construction of Flood Control along Kabacan River at Purok Rico, Brgy. Poblacion, Magpet, Cotabato",COTABATO (NORTH COTABATO),LLABAN CONSTRUCTION & SUPPLY (FORMERLY: LLABAN CON,"96,500,000.00",12/04/2023,REPORT,"Construction of Flood Control along Kabacan River at Purok Rico, Brgy. Poblacion, Magpet, Cotabato",03/29/2022,"CONTRACTOR:
LLABAN CONSTRUCTION & SUPPLY (FORMERLY: LLABAN CON","CONTRACT COST: 96,500,000.00","COTABATO (NORTH COTABATO) (7.115039 , 125.116067)",Region XII,Construction of Flood Mitigation Structure,FY 2022
"Construction of Calbiga Flood Control along Calbiga River, Calbiga Samar",SAMAR (WESTERN SAMAR),EBS CONSTRUCTION AND SUPPLIES,"110,970,734.90",12/04/2023,REPORT,"Construction of Calbiga Flood Control along Calbiga River, Calbiga Samar",02/13/2023,"CONTRACTOR:
EBS CONSTRUCTION AND SUPPLIES","CONTRACT COST: 110,970,734.90","SAMAR (WESTERN SAMAR) (11.624583 , 125.019764)",Region VIII,Construction of Flood Mitigation Structure,FY 2023
"Construction of Revetment along Diit River, Phase 2, Tacloban City",LEYTE,JFR CONSTRUCTION INC. (FORMERLY:JFR CONSTRUCTION) / PYUKEI CONSTRUCTION INC.,"55,433,308.96",12/04/2023,REPORT,"Construction of Revetment along Diit River, Phase 2, Tacloban City",04/20/2023,"CONTRACTOR:
JFR CONSTRUCTION INC. (FORMERLY:JFR CONSTRUCTION) / PYUKEI CONSTRUCTION INC.","CONTRACT COST: 55,433,308.96","LEYTE (11.264099 , 124.965943)",Region VIII,Construction of Revetment,FY 2023
"Construction of Binalbagan River Bank Slope Protection at HDA Antolanga, Brgy. Tinongan, Isabela, Negros Occidental",NEGROS OCCIDENTAL,KENNETH CONSTRUCTION AND GENERAL MERCHANDISE,"49,500,000.00",12/04/2023,REPORT,"Construction of Binalbagan River Bank Slope Protection at HDA Antolanga, Brgy. Tinongan, Isabela, Negros Occidental",03/23/2023,"CONTRACTOR:
KENNETH CONSTRUCTION AND GENERAL MERCHANDISE","CONTRACT COST: 49,500,000.00","NEGROS OCCIDENTAL (10.247832 , 123.030957)",Negros Island Region,Construction of Slope Protection Structure,FY 2023
"Construction of River Control along Panay River Basin, Brgy. Poblacion Ilawod (Downstream of Janguslob Overflow), Dumarao, Capiz",CAPIZ,"WOODLAND CONSTRUCTION & SUPPLY, INC.","50,372,582.30",12/04/2023,REPORT,"Construction of River Control along Panay River Basin, Brgy. Poblacion Ilawod (Downstream of Janguslob Overflow), Dumarao, Capiz",02/28/2022,"CONTRACTOR:
WOODLAND CONSTRUCTION & SUPPLY, INC.","CONTRACT COST: 50,372,582.30","CAPIZ (11.267860 , 122.688870)",Region VI,Construction of Flood Mitigation Structure,FY 2022
"Construction of Daet River Flood Control (Dogongan Section), Daet, Camarines Norte",CAMARINES NORTE,E. GARCIA CONSTRUCTION CORP.(FOR. E. GARCIA CONST,"96,499,909.87",12/04/2023,REPORT,"Construction of Daet River Flood Control (Dogongan Section), Daet, Camarines Norte",07/06/2023,"CONTRACTOR:
E. GARCIA CONSTRUCTION CORP.(FOR. E. GARCIA CONST","CONTRACT COST: 96,499,909.87","CAMARINES NORTE (14.094073 , 122.911753)",Region V,Construction of Flood Mitigation Structure,FY 2023
"Construction of Flood Mitigating Structure along Gabawan Bridge (Upstream R/S), Odiongan, Romblon",ROMBLON,ROLCO CONSTRUCTION & DEVELOPMENT CORPORATION ( FOR,"48,997,559.85",12/04/2023,REPORT,"Construction of Flood Mitigating Structure along Gabawan Bridge (Upstream R/S), Odiongan, Romblon",02/21/2023,"CONTRACTOR:
ROLCO CONSTRUCTION & DEVELOPMENT CORPORATION ( FOR","CONTRACT COST: 48,997,559.85","ROMBLON (12.422220 , 121.998610)",Region IV-B,Construction of Flood Mitigation Structure,FY 2023
"Construction of Mainit Flood Control Structure, Sta. 0 + 000 - Sta. 0 + 600, Boac, Marinduque",MARINDUQUE,DQT BUILDERS CORPORATION (FORMERLY DQT BUILDERS),"77,167,301.33",12/04/2023,REPORT,"Construction of Mainit Flood Control Structure, Sta. 0 + 000 - Sta. 0 + 600, Boac, Marinduque",03/22/2023,"CONTRACTOR:
DQT BUILDERS CORPORATION (FORMERLY DQT BUILDERS)","CONTRACT COST: 77,167,301.33","MARINDUQUE (13.420376 , 121.897572)",Region IV-B,Construction of Flood Mitigation Structure,FY 2023
"Construction of Revetment along Baluctot River, Phase 1, Dasmariñas City, Cavite",CAVITE,ALMAKAR BUILDERS & METAL WORKS,"96,494,250.28",12/04/2023,REPORT,"Construction of Revetment along Baluctot River, Phase 1, Dasmariñas City, Cavite",03/07/2022,"CONTRACTOR:
ALMAKAR BUILDERS & METAL WORKS","CONTRACT COST: 96,494,250.28","CAVITE (14.352030 , 120.977100)",Region IV-A,Construction of Revetment,FY 2022
"Construction of Revetment along Manila Bay, Barangay 8, Dalahican, Phase II, Cavite City, Cavite",CAVITE,GRAIA CONSTRUCTION CORPORATION,"57,900,000.00",12/04/2023,REPORT,"Construction of Revetment along Manila Bay, Barangay 8, Dalahican, Phase II, Cavite City, Cavite",02/19/2023,"CONTRACTOR:
GRAIA CONSTRUCTION CORPORATION","CONTRACT COST: 57,900,000.00","CAVITE (14.461600 , 120.880900)",Region IV-A,Construction of Revetment,FY 2023
"Construction of Flood Control System at Barangay Piel, Baliuag, Bulacan (Sta. 03+480 to Sta. 03+740)",BULACAN,MICHARIAN BUILDERS AND TRADING,"77,199,243.03",12/04/2023,REPORT,"Construction of Flood Control System at Barangay Piel, Baliuag, Bulacan (Sta. 03+480 to Sta. 03+740)",03/14/2023,"CONTRACTOR:
MICHARIAN BUILDERS AND TRADING","CONTRACT COST: 77,199,243.03","BULACAN (14.982780 , 120.880186)",Region III,Construction of Flood Mitigation Structure,FY 2023
"Construction of River Protection Structure and Rehabilitation of Waterways along Guiguinto River Brgy. Sta. Cruz Guiguinto, Bulacan",BULACAN,TOPNOTCH CATALYST BUILDERS INC. / BLACK HARDHAT INC. (FORMERLY: JCHARDHAT INC.),"74,248,853.83",12/04/2023,REPORT,"Construction of River Protection Structure and Rehabilitation of Waterways along Guiguinto River Brgy. Sta. Cruz Guiguinto, Bulacan",04/03/2023,"CONTRACTOR:
TOPNOTCH CATALYST BUILDERS INC. / BLACK HARDHAT INC. (FORMERLY: JCHARDHAT INC.)","CONTRACT COST: 74,248,853.83","BULACAN (14.836629 , 120.873477)",Region III,Construction of Flood Mitigation Structure,FY 2023
"Construction of Flood Control Structure along Balagtas River, Barangay Dalig, Balagtas, Bulacan (K006+950 to K007+148)",BULACAN,STAR WILLIAM CONSTRUCTION,"72,372,099.18",12/04/2023,REPORT,"Construction of Flood Control Structure along Balagtas River, Barangay Dalig, Balagtas, Bulacan (K006+950 to K007+148)",03/28/2023,"CONTRACTOR:
STAR WILLIAM CONSTRUCTION","CONTRACT COST: 72,372,099.18","BULACAN (14.836957 , 120.922304)",Region III,Construction of Flood Mitigation Structure,FY 2023
"Construction of Flood Control Structure along Balagtas River, Barangay Santol, Balagtas, Bulacan (K003+835 to K004+033)",BULACAN,STAR WILLIAM CONSTRUCTION,"72,373,012.16",12/04/2023,REPORT,"Construction of Flood Control Structure along Balagtas River, Barangay Santol, Balagtas, Bulacan (K003+835 to K004+033)",03/28/2023,"CONTRACTOR:
STAR WILLIAM CONSTRUCTION","CONTRACT COST: 72,373,012.16","BULACAN (14.859927 , 120.918482)",Region III,Construction of Flood Mitigation Structure,FY 2023
"Construction of Flood Control Structure along Balagtas River, Barangay Santol, Balagtas, Bulacan (K001+870 to K002+068)",BULACAN,STAR WILLIAM CONSTRUCTION,"72,373,876.28",12/04/2023,REPORT,"Construction of Flood Control Structure along Balagtas River, Barangay Santol, Balagtas, Bulacan (K001+870 to K002+068)",03/28/2023,"CONTRACTOR:
STAR WILLIAM CONSTRUCTION","CONTRACT COST: 72,373,876.28","BULACAN (14.861060 , 120.917900)",Region III,Construction of Flood Mitigation Structure,FY 2023
"Construction of River Protection along Balagtas River, K001 + 260 to K001 + 460, barangay Pulong Gubat, Balagtas, Bulacan",BULACAN,11-16 CONSTRUCTION,"48,999,814.12",12/04/2023,REPORT,"Construction of River Protection along Balagtas River, K001 + 260 to K001 + 460, barangay Pulong Gubat, Balagtas, Bulacan",03/21/2023,"CONTRACTOR:
11-16 CONSTRUCTION","CONTRACT COST: 48,999,814.12","BULACAN (14.862872 , 120.917982)",Region III,Construction of Flood Mitigation Structure,FY 2023
"Construction of River Control Project along Balagtas River, San Juan, Sta. 09+600 - Sta. 09+805, Balagtas, Bulacan",BULACAN,A.R.L. CONSTRUCTION,"96,499,923.27",12/04/2023,REPORT,"Construction of River Control Project along Balagtas River, San Juan, Sta. 09+600 - Sta. 09+805, Balagtas, Bulacan",02/13/2023,"CONTRACTOR:
A.R.L. CONSTRUCTION","CONTRACT COST: 96,499,923.27","BULACAN (14.807397 , 120.899004)",Region III,Construction of Flood Mitigation Structure,FY 2023
"Construction of Flood Mitigation Structure along Cagayan River, Brgy. Ammugauan, Sto. Tomas, Isabela",ISABELA,DRAGON TWELVE BUILDERS & CONSTRUCTION SUPPLY,"48,974,905.50",12/04/2023,REPORT,"Construction of Flood Mitigation Structure along Cagayan River, Brgy. Ammugauan, Sto. Tomas, Isabela",07/27/2023,"CONTRACTOR:
DRAGON TWELVE BUILDERS & CONSTRUCTION SUPPLY","CONTRACT COST: 48,974,905.50","ISABELA (17.419200 , 121.759400)",Region II,Construction of Flood Mitigation Structure,FY 2023
"Construction of Flood Control Structure, Barangay Dinaratan, Salcedo, Ilocos Sur",ILOCOS SUR,NORTH TECH BUILDERS AND CONSTRUCTION SUPPLY,"57,899,804.66",12/04/2023,REPORT,"Construction of Flood Control Structure, Barangay Dinaratan, Salcedo, Ilocos Sur",05/08/2023,"CONTRACTOR:
NORTH TECH BUILDERS AND CONSTRUCTION SUPPLY","CONTRACT COST: 57,899,804.66","ILOCOS SUR (17.125900 , 120.527550)",Region I,Construction of Flood Mitigation Structure,FY 2023
"Improvement of Harbor View Pumping Station, South Dr. Ermita, Manila City Phase I",CITY OF MANILA,ST. TIMOTHY CONSTRUCTION CORPORATION / ALRIE CONSTRUCTION SERVICES,"96,495,753.94",12/04/2023,REPORT,"Improvement of Harbor View Pumping Station, South Dr. Ermita, Manila City Phase I",04/24/2023,"CONTRACTOR:
ST. TIMOTHY CONSTRUCTION CORPORATION / ALRIE CONSTRUCTION SERVICES","CONTRACT COST: 96,495,753.94","CITY OF MANILA (14.579864 , 120.977052)",National Capital Region,Construction of Flood Mitigation Structure,FY 2023
"Upgrading of Drainage System at Jacinto St., Orellana St., Llamera St., Marinduque St., Franco St. at Barangay New Lower Bicutan, Taguig City",TAGUIG CITY,RGDG CONSTRUCTION,"9,309,670.78",12/04/2023,REPORT,"Upgrading of Drainage System at Jacinto St., Orellana St., Llamera St., Marinduque St., Franco St. at Barangay New Lower Bicutan, Taguig City",06/08/2023,"CONTRACTOR:
RGDG CONSTRUCTION","CONTRACT COST: 9,309,670.78","TAGUIG CITY (14.503497 , 121.061884)",National Capital Region,Rehabilitation / Major Repair of Drainage Structure,FY 2023
"Construction of Flood Mitigation Structure along Sumlog River (Cocornon Section), Lupon, Davao Oriental",DAVAO ORIENTAL,MAVERICK BUILDERS INCORPORATED (FORMERLY MAVERICK,"49,000,000.00",12/03/2023,REPORT,"Construction of Flood Mitigation Structure along Sumlog River (Cocornon Section), Lupon, Davao Oriental",03/24/2023,"CONTRACTOR:
MAVERICK BUILDERS INCORPORATED (FORMERLY MAVERICK","CONTRACT COST: 49,000,000.00","DAVAO ORIENTAL (6.915167 , 126.044997)",Region XI,Construction of Flood Mitigation Structure,FY 2023
"Construction of Revetment, Downstream and Upstream of Steel Bridge along Pulangi River, Barangay Natulongan, Kibawe, Bukidnon, Package 2",BUKIDNON,PYRAMID CONSOLIDATED BUILDERS & GEN. MDSE.,"53,075,000.00",12/03/2023,REPORT,"Construction of Revetment, Downstream and Upstream of Steel Bridge along Pulangi River, Barangay Natulongan, Kibawe, Bukidnon, Package 2",02/28/2023,"CONTRACTOR:
PYRAMID CONSOLIDATED BUILDERS & GEN. MDSE.","CONTRACT COST: 53,075,000.00","BUKIDNON (7.531500 , 125.053300)",Region X,Construction of Revetment,FY 2023
"Construction of Canturing Flood Structures, Canturing River, Maasin City, Southern Leyte",SOUTHERN LEYTE,JQD CONSTRUCTION & GENERAL SERVICES,"49,000,000.00",12/03/2023,REPORT,"Construction of Canturing Flood Structures, Canturing River, Maasin City, Southern Leyte",02/24/2023,"CONTRACTOR:
JQD CONSTRUCTION & GENERAL SERVICES","CONTRACT COST: 49,000,000.00","SOUTHERN LEYTE (10.136697 , 124.853536)",Region VIII,Construction of Flood Mitigation Structure,FY 2023
"Construction of Flood Control Structure along Boac River, Sitio Naga-Boac, Brgy. Tinag-an, Albuera, Leyte",LEYTE,AQUALINE CONSTRUCTION CORPORATION (FORMERLY: AQUALINE CONSTRUCTION) / EVERBUILT CONSTRUCTION,"48,849,922.65",12/03/2023,REPORT,"Construction of Flood Control Structure along Boac River, Sitio Naga-Boac, Brgy. Tinag-an, Albuera, Leyte",05/08/2023,"CONTRACTOR:
AQUALINE CONSTRUCTION CORPORATION (FORMERLY: AQUALINE CONSTRUCTION) / EVERBUILT CONSTRUCTION","CONTRACT COST: 48,849,922.65","LEYTE (10.858519 , 124.743833)",Region VIII,Construction of Flood Mitigation Structure,FY 2023
"Construction of Maladpad River Control, Downstream A, Siaton, Negros Oriental",NEGROS ORIENTAL,HOMEWORLD CONSTRUCTION CORP. (FORMERLY HOMEWORLD E,"49,000,000.00",12/03/2023,REPORT,"Construction of Maladpad River Control, Downstream A, Siaton, Negros Oriental",03/09/2023,"CONTRACTOR:
HOMEWORLD CONSTRUCTION CORP. (FORMERLY HOMEWORLD E","CONTRACT COST: 49,000,000.00","NEGROS ORIENTAL (9.120000 , 122.925000)",Negros Island Region,Construction of Flood Mitigation Structure,FY 2023
"Rehabilitation of Flood Control along Pandanan River, Sta. 009 + 306 - Sta. 009 + 381 RS, Package C, Lopez, Quezon",QUEZON,WAYCON BUILDERS AND CONSTRUCTION SUPPLY CORP. (FOR:WAYCON BUILDERS & CONSTRUCTION SUPPLY),"44,100,000.00",12/03/2023,REPORT,"Rehabilitation of Flood Control along Pandanan River, Sta. 009 + 306 - Sta. 009 + 381 RS, Package C, Lopez, Quezon",03/09/2023,"CONTRACTOR:
WAYCON BUILDERS AND CONSTRUCTION SUPPLY CORP. (FOR:WAYCON BUILDERS & CONSTRUCTION SUPPLY)","CONTRACT COST: 44,100,000.00","QUEZON (13.915003 , 122.293108)",Region IV-A,Construction of Flood Mitigation Structure,FY 2023
"Construction of Main Drainage Canal along Jct. Montilla Boulevard - Salvador Calo Street to LADP Main Drainage Canal, Butuan City, Agusan del Norte",AGUSAN DEL NORTE,TRIPARCO DEVELOPMENT CORPORATION,"154,399,819.56",12/02/2023,REPORT,"Construction of Main Drainage Canal along Jct. Montilla Boulevard - Salvador Calo Street to LADP Main Drainage Canal, Butuan City, Agusan del Norte",04/20/2022,"CONTRACTOR:
TRIPARCO DEVELOPMENT CORPORATION","CONTRACT COST: 154,399,819.56","AGUSAN DEL NORTE (8.962132 , 125.537834)",Region XIII,Construction of Drainage Structure,FY 2022
"Construction of Concrete Revetment, (South Tupi Bridge), Tupi, South Cotabato",SOUTH COTABATO,AMPLEX CONSTRUCTION AND SUPPLIES,"53,074,049.88",12/02/2023,REPORT,"Construction of Concrete Revetment, (South Tupi Bridge), Tupi, South Cotabato",03/30/2023,"CONTRACTOR:
AMPLEX CONSTRUCTION AND SUPPLIES","CONTRACT COST: 53,074,049.88","SOUTH COTABATO (6.313525 , 124.967581)",Region XII,Construction of Flood Mitigation Structure,FY 2023
"Construction of Revetment along Kalamokan Creek, San Roque to Andap, New Bataan, Davao de Oro",DAVAO DE ORO,ROSBILL CONSTRUCTION AND SUPPLY,"41,642,463.58",12/02/2023,REPORT,"Construction of Revetment along Kalamokan Creek, San Roque to Andap, New Bataan, Davao de Oro",05/26/2023,"CONTRACTOR:
ROSBILL CONSTRUCTION AND SUPPLY","CONTRACT COST: 41,642,463.58","DAVAO DE ORO (7.571668 , 126.140798)",Region XI,Construction of Revetment,FY 2023
"Construction of Flood Control Structure of Andoon River (L/S Downstream), Medina, Brgy. Rizal, San Carlos City, Negros Occidental",NEGROS OCCIDENTAL,KENNETH CONSTRUCTION AND GENERAL MERCHANDISE,"38,600,000.00",12/02/2023,REPORT,"Construction of Flood Control Structure of Andoon River (L/S Downstream), Medina, Brgy. Rizal, San Carlos City, Negros Occidental",04/05/2023,"CONTRACTOR:
KENNETH CONSTRUCTION AND GENERAL MERCHANDISE","CONTRACT COST: 38,600,000.00","NEGROS OCCIDENTAL (10.495110 , 123.387260)",Negros Island Region,Construction of Flood Mitigation Structure,FY 2023
"Construction of San Joaquin River Control, San Joaquin, Iloilo",ILOILO,DEACONS TEMPLE CONSTRUCTION & SUPPLY,"9,879,364.55",12/02/2023,REPORT,"Construction of San Joaquin River Control, San Joaquin, Iloilo",05/30/2023,"CONTRACTOR:
DEACONS TEMPLE CONSTRUCTION & SUPPLY","CONTRACT COST: 9,879,364.55","ILOILO (10.522613 , 122.064839)",Region VI,Construction of Flood Mitigation Structure,FY 2023
"Rehabilitation of Revetment along Quinale River, Barangay Labnig-Tuliw, Malinao, Albay",ALBAY,MAKAPA CORPORATION,"101,324,366.01",12/02/2023,REPORT,"Rehabilitation of Revetment along Quinale River, Barangay Labnig-Tuliw, Malinao, Albay",02/20/2023,"CONTRACTOR:
MAKAPA CORPORATION","CONTRACT COST: 101,324,366.01","ALBAY (13.390771 , 123.686752)",Region V,Rehabilitation / Major Repair of Flood Control Structure,FY 2023
"Construction of Slope Protection Structure along San Isidro River, West Side, Barangay Iba Silang, Cavite (Phase II)",CAVITE,MOTIONTRADE DEVELOPMENT CORPORATION / OMNICON BUILDERS,"98,998,997.47",12/02/2023,REPORT,"Construction of Slope Protection Structure along San Isidro River, West Side, Barangay Iba Silang, Cavite (Phase II)",05/22/2023,"CONTRACTOR:
MOTIONTRADE DEVELOPMENT CORPORATION / OMNICON BUILDERS","CONTRACT COST: 98,998,997.47","CAVITE (14.213460 , 120.978930)",Region IV-A,Construction of Slope Protection Structure,FY 2023
"Construction of Flood Control Structures along Rio Chico River, Brgy. Partida II, Guimba, Nueva Ecija",NUEVA ECIJA,MJ O. BETIS BUILDERS,"14,845,001.02",12/02/2023,REPORT,"Construction of Flood Control Structures along Rio Chico River, Brgy. Partida II, Guimba, Nueva Ecija",06/06/2023,"CONTRACTOR:
MJ O. BETIS BUILDERS","CONTRACT COST: 14,845,001.02","NUEVA ECIJA (15.650222 , 120.729558)",Region III,Construction of Flood Mitigation Structure,FY 2023
"Construction of Flood Control Structure San Jose-Bintog Tributaries of Angat River, Plaridel, Bulacan",BULACAN,M3 KONSTRACT CORPORATION (FORMERLY:MARGARITA CONSTRUCTION),"48,998,832.05",12/02/2023,REPORT,"Construction of Flood Control Structure San Jose-Bintog Tributaries of Angat River, Plaridel, Bulacan",02/06/2023,"CONTRACTOR:
M3 KONSTRACT CORPORATION (FORMERLY:MARGARITA CONSTRUCTION)","CONTRACT COST: 48,998,832.05","BULACAN (14.906938 , 120.892609)",Region III,Construction of Flood Mitigation Structure,FY 2023
"Construction of Dicamay1 Flood Control Structure Section 2 Jones, Isabela",ISABELA,DANYSONS CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: DANYSONS CONSTRUCTION),"48,998,504.16",12/02/2023,REPORT,"Construction of Dicamay1 Flood Control Structure Section 2 Jones, Isabela",02/22/2023,"CONTRACTOR:
DANYSONS CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: DANYSONS CONSTRUCTION)","CONTRACT COST: 48,998,504.16","ISABELA (16.589293 , 121.907969)",Region II,Construction of Flood Mitigation Structure,FY 2023
"Construction of Simayung River Control along Abulug River, Brgy. Simayung, Abulug, Cagayan",CAGAYAN,JC PALOMO CONSTRUCTION & CONSTRUCTION SUPPLY / C.T. LEONCIO CONSTRUCTION & TRADING,"67,506,525.33",12/02/2023,REPORT,"Construction of Simayung River Control along Abulug River, Brgy. Simayung, Abulug, Cagayan",03/20/2023,"CONTRACTOR:
JC PALOMO CONSTRUCTION & CONSTRUCTION SUPPLY / C.T. LEONCIO CONSTRUCTION & TRADING","CONTRACT COST: 67,506,525.33","CAGAYAN (18.384790 , 121.422010)",Region II,Construction of Flood Mitigation Structure,FY 2023
"Construction of Drainage System at Paseo De Animales (Doroteo to Sgt. De Leon), Barangay Santolan and vicinity, Pasig City",PASIG CITY,ANDREW LOUIS CONSTRUCTION AND TRADING,"13,031,103.01",12/02/2023,REPORT,"Construction of Drainage System at Paseo De Animales (Doroteo to Sgt. De Leon), Barangay Santolan and vicinity, Pasig City",02/06/2023,"CONTRACTOR:
ANDREW LOUIS CONSTRUCTION AND TRADING","CONTRACT COST: 13,031,103.01","PASIG CITY (14.611670 , 121.083060)",National Capital Region,Construction of Drainage Structure,FY 2023
"Construction of Floodway from Road 7 to Existing Creek, Brgy. Fatima, General Santos City",SOUTH COTABATO,"HANNA VIA CONSTRUCTION, INC. (FORMERLY:HANNA VIA DESIGN & CONSTRUCTION)","19,798,637.03",12/01/2023,REPORT,"Construction of Floodway from Road 7 to Existing Creek, Brgy. Fatima, General Santos City",05/25/2023,"CONTRACTOR:
HANNA VIA CONSTRUCTION, INC. (FORMERLY:HANNA VIA DESIGN & CONSTRUCTION)","CONTRACT COST: 19,798,637.03","SOUTH COTABATO (6.065445 , 125.121313)",Region XII,Construction of Flood Mitigation Structure,FY 2023
"Construction of River Bank Protection (Revetment) at Esteros River-Upstream, Phase III, Cotabato City",MAGUINDANAO DEL NORTE,MUST ENTERPRISES,"81,974,860.79",12/01/2023,REPORT,"Construction of River Bank Protection (Revetment) at Esteros River-Upstream, Phase III, Cotabato City",12/27/2022,"CONTRACTOR:
MUST ENTERPRISES","CONTRACT COST: 81,974,860.79","MAGUINDANAO DEL NORTE (7.188562 , 124.244813)",Bangsamoro Autonomous Region in Muslim Mindanao,Construction of Revetment,FY 2022
"Construction of Flood Mitigation Structure, Padada-Mainit River (Tanwalang Section), Sulop, Davao del Sur",DAVAO DEL SUR,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),"96,500,000.00",12/01/2023,REPORT,"Construction of Flood Mitigation Structure, Padada-Mainit River (Tanwalang Section), Sulop, Davao del Sur",03/21/2023,"CONTRACTOR:
LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION)","CONTRACT COST: 96,500,000.00","DAVAO DEL SUR (6.629087 , 125.269621)",Region XI,Construction of Flood Mitigation Structure,FY 2023
"Construction of Flood Mitigation Measure along Hibago River, Left Side, Upstream of Hibago Bridge, Brgy. Hibago, Ocampo, Camarines Sur",CAMARINES SUR,PHILWORKS CONSTRUCTION & SUPPLY,"85,981,400.00",12/01/2023,REPORT,"Construction of Flood Mitigation Measure along Hibago River, Left Side, Upstream of Hibago Bridge, Brgy. Hibago, Ocampo, Camarines Sur",02/20/2023,"CONTRACTOR:
PHILWORKS CONSTRUCTION & SUPPLY","CONTRACT COST: 85,981,400.00","CAMARINES SUR (13.565866 , 123.398756)",Region V,Construction of Flood Mitigation Structure,FY 2023
