Project Description,Location,Contractor,Cost,Completion Date,,Description,Start_Date,Contractor,Contract_Cost,Location,Region,Category,FY
"Construction of Drainage Structure, Camia Street, Barangay Dadiangas East, General Santos City",SOUTH COTABATO,BAYTORR CONSTRUCTION AND DEVELOPMENT CORPORATION,"4,939,993.97",05/12/2025,REPORT,"Construction of Drainage Structure, Camia Street, Barangay Dadiangas East, General Santos City",03/14/2025,"CONTRACTOR:
BAYTORR CONSTRUCTION AND DEVELOPMENT CORPORATION","CONTRACT COST: 4,939,993.97","SOUTH COTABATO (6.114249 , 125.178912)",Region XII,Construction of Drainage Structure,FY 2025
"Construction of Flood Mitigation Structure, barangay Paradise (Phase 2), Cabanglasan, Bukidnon",BUKIDNON,ROSBILL CONSTRUCTION AND SUPPLY,"96,500,000.00",05/09/2025,REPORT,"Construction of Flood Mitigation Structure, barangay Paradise (Phase 2), Cabanglasan, Bukidnon",01/31/2024,"CONTRACTOR:
ROSBILL CONSTRUCTION AND SUPPLY","CONTRACT COST: 96,500,000.00","BUKIDNON (7.997293 , 125.301692)",Region X,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Control Structure, Brgy. Dianed, Dipaculao, Aurora",AURORA,ALEXI LOUISSE CONSTRUCTION & GENERAL MERCHANDISE,"47,338,372.71",05/08/2025,REPORT,"Construction of Flood Control Structure, Brgy. Dianed, Dipaculao, Aurora",04/30/2024,"CONTRACTOR:
ALEXI LOUISSE CONSTRUCTION & GENERAL MERCHANDISE","CONTRACT COST: 47,338,372.71","AURORA (16.007996 , 121.665518)",Region III,Construction of Flood Mitigation Structure,FY 2024
"Construction of Booster Pumping Station Along Estero de Tripa de Gallina Along Pedro Gil Street Barangay 869, Manila City, Phase II",CITY OF MANILA,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP. / JCA CONSTRUCTION AND CONSTRUCTION SUPPLY,"137,222,334.81",05/06/2025,REPORT,"Construction of Booster Pumping Station Along Estero de Tripa de Gallina Along Pedro Gil Street Barangay 869, Manila City, Phase II",03/03/2025,"CONTRACTOR:
ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP. / JCA CONSTRUCTION AND CONSTRUCTION SUPPLY","CONTRACT COST: 137,222,334.81","CITY OF MANILA (14.579709 , 121.004299)",National Capital Region,Construction of Flood Mitigation Facility,FY 2025
"Construction of Bank Revetment along Bislig River (Pamanlinan Section), Bislig City, Surigao del Sur",SURIGAO DEL SUR,ME 3 CONSTRUCTION / EVENPAR CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: EVEN PAR CONST. CO. INC.),"96,499,134.76",05/02/2025,REPORT,"Construction of Bank Revetment along Bislig River (Pamanlinan Section), Bislig City, Surigao del Sur",04/15/2024,"CONTRACTOR:
ME 3 CONSTRUCTION / EVENPAR CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: EVEN PAR CONST. CO. INC.)","CONTRACT COST: 96,499,134.76","SURIGAO DEL SUR (8.206170 , 126.268470)",Region XIII,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Control Structure Along Mogpog River, Brgy. Magapua, Mogpog, Marinduque",MARINDUQUE,"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)","96,495,098.79",05/01/2025,REPORT,"Construction of Flood Control Structure Along Mogpog River, Brgy. Magapua, Mogpog, Marinduque",02/19/2024,"CONTRACTOR:
SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)","CONTRACT COST: 96,495,098.79","MARINDUQUE (13.475498 , 121.887830)",Region IV-B,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Control Structure, Barangay Punta Flecha, Pitogo, Zamboanga del Sur",ZAMBOANGA DEL SUR,ZMS CONST. & DEV. CORP. (FORMERLY:ZMS CONSTRUCTION,"14,679,957.15",04/29/2025,REPORT,"Construction of Flood Control Structure, Barangay Punta Flecha, Pitogo, Zamboanga del Sur",05/09/2024,"CONTRACTOR:
ZMS CONST. & DEV. CORP. (FORMERLY:ZMS CONSTRUCTION","CONTRACT COST: 14,679,957.15","ZAMBOANGA DEL SUR (7.402520 , 123.369813)",Region IX,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Control Structure, Barangay Colojo, Pitogo, Zamboanga del Sur",ZAMBOANGA DEL SUR,ZMS CONST. & DEV. CORP. (FORMERLY:ZMS CONSTRUCTION,"14,679,922.81",04/29/2025,REPORT,"Construction of Flood Control Structure, Barangay Colojo, Pitogo, Zamboanga del Sur",05/09/2024,"CONTRACTOR:
ZMS CONST. & DEV. CORP. (FORMERLY:ZMS CONSTRUCTION","CONTRACT COST: 14,679,922.81","ZAMBOANGA DEL SUR (7.472028 , 123.346845)",Region IX,Construction of Flood Mitigation Structure,FY 2024
"Construction of River Dike at Lunao Bridge (Abutment A and B), Gingoog City, Misamis Oriental",MISAMIS ORIENTAL,RITCHE-NATHALIE DEVELOPMENT CORPORATION (FORMERLY: RITCHE-NATHALIE BUILDERS AND GEN. MERCHANDISE),"96,500,000.00",04/28/2025,REPORT,"Construction of River Dike at Lunao Bridge (Abutment A and B), Gingoog City, Misamis Oriental",05/06/2024,"CONTRACTOR:
RITCHE-NATHALIE DEVELOPMENT CORPORATION (FORMERLY: RITCHE-NATHALIE BUILDERS AND GEN. MERCHANDISE)","CONTRACT COST: 96,500,000.00","MISAMIS ORIENTAL (8.852241 , 125.063665)",Region X,Construction of Flood Mitigation Structure,FY 2024
"Construction of Slope Protection, Cagayan de Oro Convention Center, Indahag, Cagayan de Oro City (Phase 1)",MISAMIS ORIENTAL,JEJOR'S CONSTRUCTION CORPORATION,"60,252,341.13",04/28/2025,REPORT,"Construction of Slope Protection, Cagayan de Oro Convention Center, Indahag, Cagayan de Oro City (Phase 1)",03/04/2024,"CONTRACTOR:
JEJOR'S CONSTRUCTION CORPORATION","CONTRACT COST: 60,252,341.13","MISAMIS ORIENTAL (8.421100 , 124.643100)",Region X,Construction of Slope Protection Structure,FY 2024
